Colombo City Church (KRC),6.921606,79.848230,Church,Professional & Other Places,6,1
Pugoda Kelani Bridge,6.973499,80.123276,Bridge,Outdoors & Recreation,2,1
Masjidhul Mahmoor,6.963178,79.875946,Mosque,Professional & Other Places,13,1
"Engineering Drawing Room, HNDE",6.968239,79.877450,College Classroom,College & University,1,1
"Department of Telecommunication Engineering, HNDE",6.968303,79.877429,College Engineering Building,College & University,2,1
U.K. Beverages,6.962744,79.879648,Factory,Professional & Other Places,1,1
TVS Service Center Pelliyagoda,6.966404,79.881565,Motorcycle Shop,Shop & Service,1,1
HNDE Gymnasium,6.968305,79.877296,College Gym,College & University,1,1
wickramaratna sisilco (pvt) ltd,6.964575,79.881579,Storage Facility,Shop & Service,6,1
Harbour View Apartment,6.955233,79.860344,Residential Building (Apartment / Condo),Residence,2,1
Shiva Grossory,6.953518,79.866390,Building,Professional & Other Places,1,1
Seylan Bank - Mutwal Branch (සෙලාන් බැංකුව - මෝදර ශාඛාව),6.963872,79.868576,Bank,Shop & Service,2,1
"Medical Casualty Unit (Ward 14), NHSL",6.962397,79.866513,Urgent Care Center,Professional & Other Places,5,1
idea panel,6.959177,79.876172,Building,Professional & Other Places,2,1
Dinesha Rasahala,6.960259,79.892312,Bakery,Food,16,1
Len's Port,6.961794,79.899485,Residential Building (Apartment / Condo),Residence,45,1
Savory Restaurant,6.962716,79.899556,Asian Restaurant,Food,3,1
Supra Post Office,6.955393,80.206410,Post Office,Professional & Other Places,1,1
Apollo Clinic,6.947045,79.861864,Medical Center,Professional & Other Places,11,1
Rayeeza,6.944920,79.866800,Restaurant,Food,1,1
Rotti Kadai,6.949230,79.866059,Breakfast Spot,Food,10,1
Boarding House,6.949235,79.866059,Residential Building (Apartment / Condo),Residence,17,1
Perera & Sons,6.942688,79.878156,Bakery,Food,1,1
Chandra weda Madura,6.953973,79.907532,Medical Center,Professional & Other Places,1,1
Owins,6.951181,79.908288,Chinese Restaurant,Food,1,1
BOC Avissawella,6.952162,80.213430,Bank,Shop & Service,1,1
Umbichi Place,6.938786,79.850151,General Travel,Travel & Transport,2,1
Hana Global Ticketing Services,6.938292,79.851166,General Travel,Travel & Transport,9,1
Umair Flowers,6.938222,79.850755,Flower Shop,Shop & Service,1,1
MJM Jafeer Mawatha,6.940917,79.862220,Road,Travel & Transport,1,1
Vivekananda College,6.943182,79.860672,School,Professional & Other Places,14,1
Anthony's Pastry Shop,6.942179,79.864796,Bakery,Food,10,1
Keththarama Temple,6.941174,79.871610,Cultural Center,Professional & Other Places,1,1
P.D.Sirisena Ground,6.935288,79.868560,Soccer Field,Outdoors & Recreation,1,1
Eag Release Management Team Restricted Area.,6.940527,79.879970,Coworking Space,Professional & Other Places,45,1
Salawatha Road,6.934442,79.897413,Assisted Living,Residence,11,1
Paramadharmodaya Temple,6.940063,79.893720,Buddhist Temple,Professional & Other Places,1,1
Laugfs,6.940792,79.987025,Convenience Store,Shop & Service,1,1
Ivu House,6.930969,79.842829,Assisted Living,Residence,1,1
Fuji Maru,6.932098,79.841182,Moving Target,Travel & Transport,2,1
Postal Head Quarters Auditorium,6.929165,79.860130,Auditorium,Professional & Other Places,1,1
Winterfell,6.929037,79.867601,Snack Place,Food,133,1
Shai Residance,6.928964,79.878243,Residential Building (Apartment / Condo),Residence,7,1
Dematagoda junction,6.930339,79.878029,Road,Travel & Transport,1,1
Tereance Car Wash,6.931166,79.890526,Car Wash,Shop & Service,3,1
our lady of perpetual help church,6.926008,79.913338,Church,Professional & Other Places,19,1
Singer plus,6.929766,79.919213,Building,Professional & Other Places,8,1
LOLC Motors,6.928618,79.908740,Transportation Service,Travel & Transport,7,1
"Conference hall,NIMH",6.927371,79.926116,Mental Health Office,Professional & Other Places,1,1
Walihinda Bomalu Wiharaya,6.931879,79.999069,Buddhist Temple,Professional & Other Places,18,1
Seylan Bank Skills Development Centre,6.919511,79.847240,Bank,Shop & Service,1,1
Sunpower Systems (pvt) Ltd,6.919265,79.850121,Office,Professional & Other Places,216,1
Ward 23,6.919045,79.869705,Hospital,Professional & Other Places,2,1
Ruhunukala Mawatha,6.915892,79.884728,Road,Travel & Transport,50,1
Lionel Garage,6.919718,79.892006,Auto Garage,Shop & Service,8,1
Foozoo,6.916558,79.883138,General Travel,Travel & Transport,1,1
Super Interior Cleaners,6.918766,79.891250,Car Wash,Shop & Service,1,1
East Colombo General Hospital,6.919849,79.941428,Hospital,Professional & Other Places,1,1
Horizon Campus,6.919306,79.963141,University,College & University,12,1
Millennium Drive,6.917732,79.960300,Road,Travel & Transport,2,1
සිතියගේ place එක,6.919373,79.974097,Assisted Living,Residence,3,1
The Agency Sri Lanka,6.909526,79.866431,Advertising Agency,Professional & Other Places,4,1
D. S. Senanayake Mawatha,6.914290,79.877510,Road,Travel & Transport,40,1
R. I. T. Alles Mawatha,6.913447,79.877489,Road,Travel & Transport,41,1
Onitka Institute,6.910893,79.886194,College Academic Building,College & University,23,1
Kuruppu Road,6.914061,79.883689,Road,Travel & Transport,19,1
Yathra Travels,6.910091,79.888824,Building,Professional & Other Places,1,1
PRISL - Plastics & Rubber Institute,6.909260,79.894090,General College & University,College & University,3,1
Probike.lk,6.907498,79.930748,Bike Shop,Shop & Service,1,1
Cool Planet Head Office Accounts Section,6.908798,79.926996,Campaign Office,Professional & Other Places,24,1
First steps language school,6.907313,79.940625,School,Professional & Other Places,68,1
Chandrika Kumarathunga Mawatha Jogging Track,6.907861,79.962270,Track,Outdoors & Recreation,3,1
Brandix Car Park,6.905193,79.851051,Parking,Professional & Other Places,19,1
Anūgaa İn The City,6.906415,79.880350,Recreation Center,Outdoors & Recreation,1,1
The Sandwich Factory,6.901713,79.875320,Government Building,Professional & Other Places,1,1
Randeni Hotel and Hardware,6.901184,79.894630,Sri Lankan Restaurant,Food,23,1
Laksanka Hardware,6.901304,79.894712,Hardware Store,Shop & Service,7,1
Buddhika Hardware,6.901238,79.892864,Hardware Store,Shop & Service,4,1
Nishan Salon,6.902185,79.892864,Salon / Barbershop,Shop & Service,2,1
Rathnasiri Food Center,6.902122,79.894320,Restaurant,Food,2,1
Hypercent pvt ltd,6.901596,79.905532,Business Center,Professional & Other Places,5,1
Colombo Agencies Limited,6.902613,79.905790,Warehouse Store,Shop & Service,1,1
Sarradem,6.905939,79.902040,IT Services,Shop & Service,5,1
LOOKS,6.903104,79.914815,Salon / Barbershop,Shop & Service,1,1
Plantation Human Development Trust (PHDT),6.901246,79.926777,Non-Profit,Professional & Other Places,19,1
Tutoo's Hideout,6.900902,79.926017,Residential Building (Apartment / Condo),Residence,53,1
සැලෝන් ප්‍රසන්න,6.903450,79.921195,Salon / Barbershop,Shop & Service,4,1
Nitrous Pool Hall,6.904864,79.924644,Pool Hall,Arts & Entertainment,1,1
Bael Leaf,6.906028,79.925569,Restaurant,Food,1,1
L. B. Engineering,6.906749,79.945724,Factory,Professional & Other Places,1,1
Sidath's Motors,6.903010,79.958380,Auto Workshop,Shop & Service,1,1
My School,6.900960,79.955470,College Administrative Building,College & University,31,1
Mihiranga Photography,6.900613,79.964592,Photography Studio,Shop & Service,3,1
That Cafe,6.904632,79.964520,Café,Food,1,1
Kingdom Restaurant and Club,6.893214,79.869761,Nightclub,Nightlife Spot,2,1
KFC (Kareem food court),6.898589,79.868635,Food Court,Food,2,1
samha hotel,6.898515,79.868722,Food Court,Food,1,1
N & A Bodima,6.895591,79.874350,Residential Building (Apartment / Condo),Residence,4,1
Sri Ramya Hotel And Backery,6.892408,79.875711,Bakery,Food,15,1
Bewaxed,6.894956,79.888795,Health & Beauty Service,Shop & Service,1,1
The Flat,6.900381,79.894100,Residential Building (Apartment / Condo),Residence,1,1
Aro International HQ,6.897153,79.893444,Office,Professional & Other Places,10,1
Easyhome. lk,6.899964,79.895122,Outlet Store,Shop & Service,1,1
Puppet Animations Pvt Ltd,6.899363,79.908051,Office,Professional & Other Places,31,1
Top Level Racing,6.898436,79.906163,Automotive Shop,Shop & Service,1,1
colombathanthri mawathe,6.893570,79.909454,Road,Travel & Transport,35,1
Fauna Veterinary Hospital,6.896440,79.919430,Animal Shelter,Professional & Other Places,1,1
Staffrons,6.897199,79.922438,Dentist's Office,Professional & Other Places,3,1
Diana Shoes,6.891874,79.928712,Shoe Repair,Shop & Service,3,1
Rumesh Mortors,6.893850,79.941832,Auto Garage,Shop & Service,1,1
super caters,6.891657,79.965153,Restaurant,Food,2,1
Prisma Housing by Blue Mountain,6.896482,79.984935,Housing Development,Residence,2,1
Paradis Residencies,6.889234,79.992701,Residential Building (Apartment / Condo),Residence,57,1
Suba's Landing,6.885128,79.859244,Residential Building (Apartment / Condo),Residence,47,1
Food 3 Wheeler - Near Laugfs,6.887364,79.859682,Food Truck,Food,7,1
Siriwardhanarama Temple,6.884721,79.858829,Buddhist Temple,Professional & Other Places,15,1
Quantech Services,6.889069,79.866218,IT Services,Shop & Service,11,1
White Flower,6.888001,79.870380,Bridal Shop,Shop & Service,1,1
LUX Apartments & Spa Gardens,6.886455,79.888123,Park,Outdoors & Recreation,1,1
Salon Xtreme,6.885042,79.897735,Salon / Barbershop,Shop & Service,8,1
Ranketha Game Kade,6.887787,79.902656,Sri Lankan Restaurant,Food,7,1
Lucky Mini Garage,6.885785,79.907215,Auto Garage,Shop & Service,1,1
Hybrid Kitchen,6.886685,79.931933,Design Studio,Shop & Service,15,1
Pabasara's Boading,6.881279,79.939056,Residential Building (Apartment / Condo),Residence,4,1
Childdrum Ent... (Music Studio),6.881542,79.938548,Music Venue,Arts & Entertainment,2,1
Salon Romak,6.880454,79.959939,Salon / Barbershop,Shop & Service,19,1
Millennium City Zone 7,6.889315,79.992723,Residential Building (Apartment / Condo),Residence,11,1
Centura Solutions Pvt. Ltd,6.879682,79.861180,Office,Professional & Other Places,60,1
Alexandra Rd,6.877435,79.858742,Road,Travel & Transport,3,1
New Residents,6.877867,79.865485,Residential Building (Apartment / Condo),Residence,3,1
Guest House Entrance  🏡,6.878946,79.867060,Housing Development,Residence,11,1
Guest Houses,6.878805,79.867038,Housing Development,Residence,6,1
be beautiful,6.880014,79.868281,Boutique,Shop & Service,1,1
Shaaranya Tailors,6.876565,79.866277,Tailor Shop,Shop & Service,2,1
Sarath Enterprises,6.877405,79.879260,Hardware Store,Shop & Service,5,1
බෝඩිම43,6.875832,79.879402,Assisted Living,Residence,9,1
OpenArc Cafeteria,6.877848,79.877740,Asian Restaurant,Food,22,1
Lakshani Super Caters,6.877824,79.877833,Comfort Food Restaurant,Food,4,1
Sierra Technology Holdings,6.875112,79.895500,Tech Startup,Professional & Other Places,12,1
